x,y
454,10799.625
455,10665.304
456,11708.178
457,10161.205
458,13434.424
459,13711.398
460,12346.703
461,8926.6699
462,13140.631
463,11434.083
464,10732.748
465,11397.186
466,15391.23
467,15612.243
468,14996.538
469,11713.327
470,11591.996
471,10679.794
472,10765.491
473,11243.479
474,10294.045
475,9525.4834
476,12202.093
477,11189.187
478,10411.574
479,10403.243
480,12320.683
481,11751.673
482,12578.027
483,12338.94
484,9915.502
485,10156.166
486,8664.4863
487,8539.8232
488,9327.8203
489,9410.1689
490,13809.481
491,13077.354
492,11604.156
493,13772.997
494,13696.638
495,9476.6416
496,9493.4785
497,9472.7207
498,10423.391
499,7620.5654
500,7284.3584
501,9175.5186
502,9023.9033
503,7923.6563
504,8646.6865
505,9730.5732
506,10515.55
507,10803.289
508,11043.973
509,12517.628
510,10762.244
511,11271.842
512,14060.358
